targetLab,resultLab,targetWeights,resultWeights,optimizer,numberOfEvaluations,mixingError,penalties,normalizer,initialGuessType
54.48966311460322;57.174918510749684;51.69569907182661,48.633555798212896;38.58263764116132;47.85184709629271,0.2;0.8;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0,0.01626249412314476;0.8846551874758375;0.27179784167210913;0.03672078863478292;0.8913966105989705;0.31883274344580037;0.9828414150121523;0.036074401657876023;0.2804811153286747;0.030970569077480904;0.0017219524807654714,MoeaNSGAIIOptimizerImpl,1000,DeltaE2000,SparsityPenalty,ProportionsNormalizer,Uniform
83.2687849582949;-5.401509623651379;82.12225174720264,58.048425829981895;-19.09230890936525;47.283798953403775,0.4;0.0;0.6;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0,0.9970720250536104;0.2883376017470649;0.82574347349532;0.32622398216824733;0.0038917194397224777;0.00933308167521666;0.001775749748381224;0.410133984911813;0.016170743190721336;0.3466841260083139;0.33096816704083615,MoeaNSGAIIOptimizerImpl,1000,DeltaE2000,SparsityPenalty,ProportionsNormalizer,Uniform
71.85059444103966;21.2184989027564;70.08835567787297,45.5305075150984;-5.519740423770014;35.10264915880412,0.4;0.2;0.4;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0,0.43041328481886376;0.03738604347955972;0.015790707279500285;0.04297953025700203;0.47223946137199563;0.7424098566584546;0.9949062766480276;0.7093008395437619;0.3911086159460334;0.471476049564542;0.44774615485283104,MoeaNSGAIIOptimizerImpl,1000,DeltaE2000,SparsityPenalty,ProportionsNormalizer,Uniform
63.853213580756815;37.33421661894726;63.03192559590205,51.484181221793634;4.639241521052718;45.829827160438406,0.4;0.4;0.2;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0,0.6585060151727176;0.03329646039878311;0.3701311104119907;0.034048323141294044;0.6937844281967862;0.43706631435093557;0.9994561885094326;0.5196248307510084;0.0434524841780865;0.3599087158642708;0.45217606943946037,MoeaNSGAIIOptimizerImpl,1000,DeltaE2000,SparsityPenalty,ProportionsNormalizer,Uniform
56.67647635323361;50.99450333647232;57.07290754377022,45.7951765943083;12.986661308203196;38.2774902997735,0.4;0.6;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0,0.5052146503604593;0.9577737063959026;0.04587296630769553;0.44741485975365436;0.4696307906749876;0.041996681609694685;0.9334926675096094;0.3900603436597307;0.014943812855011271;0.3842029740935602;0.4086297315583523,MoeaNSGAIIOptimizerImpl,1000,DeltaE2000,SparsityPenalty,ProportionsNormalizer,Uniform
78.07828135059808;-0.6250669787259411;78.60038075362517,67.94717196974928;1.3234323634428447;61.39531507789955,0.6;0.0;0.4;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0,0.9677873732262828;0.24323639425355664;0.9255396478259504;0.37223750304477843;0.0374308445376008;0.4065839707434035;0.388012839016512;0.4930530733580175;0.02241089331852042;0.022629281478441236;0.0015045149659743905,MoeaNSGAIIOptimizerImpl,1000,DeltaE2000,SparsityPenalty,ProportionsNormalizer,Uniform
67.71242554754436;22.68473850981173;69.28450671462775,50.378729782555666;-0.014675317978773972;41.11280721317569,0.6;0.2;0.2;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0,0.8215576303107045;0.6573516682367394;0.6612233205575577;0.6359826646140172;0.5830962928257407;0.8506404472037324;0.9977508830697577;0.4757217389569081;0.39637210944796064;0.035837678551735766;0.49640125412456637,MoeaNSGAIIOptimizerImpl,1000,DeltaE2000,SparsityPenalty,ProportionsNormalizer,Uniform
59.29024947909363;41.64972968500879;61.76989083579241,54.74048055998843;29.055772235368426;51.71701204255959,0.6;0.4;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0,0.8177157542485752;0.7337848598222634;0.6709836370720775;0.4004289178284848;0.719098731068686;0.013827924558147964;0.5424512833553978;0.029233148973106422;0.037689631889264996;0.006734701790087661;0.037484994028323594,MoeaNSGAIIOptimizerImpl,1000,DeltaE2000,SparsityPenalty,ProportionsNormalizer,Uniform
72.76378118559956;3.8641347769889367;74.84590181368655,63.08555465810906;11.542514943125138;57.60048257317093,0.8;0.0;0.2;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0,0.7375076697111339;0.036362192845396824;0.9453129595944356;0.003933730642737446;0.4752912400185659;0.766401078538596;0.7859375012444131;0.7674504555112048;0.018405613964917834;0.4320073352112456;0.04977192091418029,MoeaNSGAIIOptimizerImpl,1000,DeltaE2000,SparsityPenalty,ProportionsNormalizer,Uniform
67.0607520782194;8.583268068731996;70.79009233501033,63.45418012252125;-1.5822368151566235;55.329981842842244,1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0,0.8927543328115785;0.29296939815764556;0.4167084103401659;0.02203840651487561;0.03460984333782113;0.7740628791442938;0.7830687561144559;0.7781716348322328;0.031967086644184795;0.04294508354549668;0.4274318875918864,MoeaNSGAIIOptimizerImpl,1000,DeltaE2000,SparsityPenalty,ProportionsNormalizer,Uniform
