targetLab,resultLab,targetWeights,resultWeights,optimizer,numberOfEvaluations,mixingError,penalties,normalizer,initialGuessType
67.0607520782194;8.583268068731996;70.79009233501033,59.92310739445752;0.11643814421030685;49.37946095333192,1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0,0.8708338929025756;0.03403108910757953;0.9985246039255645;0.6214636727881738;0.87704410027258;0.5942586155766543;0.8686487191111162;0.8607561286435947;0.060201542364356334;0.012465068934936352;0.37413799882219306,SMSEMOAOptimizerImpl,10000,DeltaE2000,SparsityPenalty,ProportionsNormalizer,Uniform
67.64497183318726;41.34904304583387;74.38042449068686,53.91269669304697;-9.814748564724084;42.92018718420253,0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0,0.81064389034061;0.9687684194569047;0.773566093604917;0.4914750520167992;0.016148438018801507;0.0336220289440692;0.7768175652659384;0.4584484252257278;0.39627605174470104;0.046056348214452425;0.45743180034839037,SMSEMOAOptimizerImpl,10000,DeltaE2000,SparsityPenalty,ProportionsNormalizer,Uniform
67.12890755038966;25.83968384063484;72.37860748612705,58.99453853888349;-0.5145872054027611;47.8353456254976,0.5;0.0;0.0;0.0;0.0;0.0;0.5;0.0;0.0;0.0;0.0,0.9813277677598682;0.024990061894138077;0.9921717513767242;0.36155094886099387;0.9963249931751903;0.03936823261633666;0.022379929714089253;0.44489524812900477;0.028643592534556027;0.011235828097265022;0.33777884637862154,SMSEMOAOptimizerImpl,10000,DeltaE2000,SparsityPenalty,ProportionsNormalizer,Uniform
67.0607520782194;8.583268068731996;70.79009233501033,55.440890898931954;-0.5433943449100198;44.163909369412316,1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0,0.9921866632384491;0.7903137635560246;0.8272393456259423;0.827435419167483;0.6181556855302395;0.0020568482280412994;0.92620090941282;0.6936085165640923;0.421110489874312;0.030347011588095597;0.36981841476684874,SMSEMOAOptimizerImpl,10000,DeltaE2000,SparsityPenalty,ProportionsNormalizer,Uniform
100.0;0.00526049995830391;-0.010408184525267927,56.61778332374526;-1.2276399033714913;26.791651719679244,0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0,0.20051547012404725;0.03811451906647596;0.3697438598722791;0.3804487233110914;0.3765091522117204;0.3722462350058269;0.38198872517488264;0.9979287969552512;0.3635040328149871;0.38889829421003913;0.0194694326301459,SMSEMOAOptimizerImpl,10000,DeltaE2000,SparsityPenalty,ProportionsNormalizer,Uniform
84.2189330883204;-3.6886657038223136;66.55231175720814,75.83721451144584;-16.088917744068787;56.43189843376566,0.5;0.0;0.0;0.0;0.0;0.0;0.0;0.5;0.0;0.0;0.0,0.023090252310205953;0.029835306016745593;0.9910816803978851;0.028810950763579174;5.679484995326826E-4;0.3539201564962719;0.3560463587553013;0.9732138535967786;0.02871627487599485;0.23160832381826618;0.21954964965781867,SMSEMOAOptimizerImpl,10000,DeltaE2000,SparsityPenalty,ProportionsNormalizer,Uniform
67.0607520782194;8.583268068731996;70.79009233501033,54.83260184183635;-1.8470161882607194;50.77496291307858,1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0,0.936062830155726;0.034776654265394;0.8537195074695636;0.029164603016205718;0.26724523937089395;0.9345411020460095;0.4506463486655454;0.40738782129948176;0.33718629218124946;0.4725282129393738;0.02540960815364904,SMSEMOAOptimizerImpl,10000,DeltaE2000,SparsityPenalty,ProportionsNormalizer,Uniform
16.24447400883688;44.35786734366931;-64.94072656183228,18.383821166938176;21.88006008788851;-42.17789591791659,0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0,0.03258441241229281;0.011264154592798312;0.021162953248029193;0.8837104083781023;0.4421590963414112;0.002029457860338531;0.31744586293227783;0.006211351550289833;0.9925207917284053;0.8913543090423528;0.011175740838317851,SMSEMOAOptimizerImpl,10000,DeltaE2000,SparsityPenalty,ProportionsNormalizer,Uniform
34.89500100300083;-29.237271178155833;21.020668491511852,46.72396590314974;-13.671365483442555;29.933523595561407,0.5;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.5;0.0;0.0,0.9827417497641955;0.4114349422640598;0.51940463662131;0.374906925840134;0.35310640639430596;0.6201756332677103;0.2420531104147999;0.5375703784466721;0.6956183300258358;0.4994080350740932;0.8499377390055569,SMSEMOAOptimizerImpl,10000,DeltaE2000,SparsityPenalty,ProportionsNormalizer,Uniform
67.0607520782194;8.583268068731996;70.79009233501033,58.612247701329935;7.848829143995706;50.47797544187556,1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0,0.9990716965457738;0.5808061088366228;0.9703050983838785;0.5883476761684213;0.5384400525370717;0.01393454932258158;0.9878453990418179;0.5657949075350713;0.3506248248850231;0.009125830263119404;0.026573798403563435,SMSEMOAOptimizerImpl,10000,DeltaE2000,SparsityPenalty,ProportionsNormalizer,Uniform
