targetLab,resultLab,targetWeights,resultWeights,optimizer,numberOfEvaluations,mixingError,penalties,normalizer,initialGuessType
67.89296270773252;25.96184755580605;68.25398433689301,67.89296270773252;25.96184755580605;68.25398433689301,0.5;0.25;0.25;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0,0.6637798160767623;0.42506894674330103;0.3487875940046452;0.02137727482233328;2.314293208117036E-5;0.3551744991352596;0.9017380321677835;0.32888514705528965;0.008672196158215647;0.011301827213958195;0.0022523889970220883,CMAESOptimizerImpl,4566,DeltaE2000,SparsityPenalty,ProportionsNormalizer,Uniform
57.909728260333964;46.849916506627565;59.505940184520455,57.909728260333964;46.849916506627565;59.505940184520455,0.5;0.5;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0,0.8246092334993157;0.6239160981510917;0.4004341282514682;0.024481847779277924;0.9707873084708577;0.016181763262187666;0.9688318194070051;0.004081988807777329;0.022880181885136328;0.03283305792249109;0.007260786539589354,CMAESOptimizerImpl,5061,DeltaE2000,SparsityPenalty,ProportionsNormalizer,Uniform
73.98157428057225;2.6404661833641097;75.6977020928893,73.91962693889023;2.465161557494877;72.72394434672765,0.75;0.0;0.25;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0,0.9981788507568434;0.011234969979649399;0.3194032511620461;0.0023265140958953377;0.011957155971157582;0.325061972826275;0.00263404819465336;0.30670799621192857;0.008469990514724928;0.015603183299824812;0.013589746857278068,CMAESOptimizerImpl,7261,DeltaE2000,SparsityPenalty,ProportionsNormalizer,Uniform
61.86404923206804;31.344327196043466;65.23719306297153,61.87016390366499;31.375953815519775;64.76866231380201,0.75;0.25;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0,0.9354623565119877;0.5965499090440574;0.41793905492684114;0.012618661154527018;0.015841333747416118;0.686347247225035;0.9877107445478971;0.003277119200919913;0.015024087987767151;0.010618825922609418;0.023395449652971988,CMAESOptimizerImpl,4676,DeltaE2000,SparsityPenalty,ProportionsNormalizer,Uniform
67.0607520782194;8.583268068731996;70.79009233501033,67.33681374277027;8.20598570832326;69.0442545445718,1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0,0.9885739902051205;0.0013436596202002027;0.003855236670714708;0.004346418056732946;0.006388713603035862;0.21172643611669403;0.001618396421423849;0.1366736123539967;0.00488723579040868;0.0020966664411773634;0.0017183563904621636,CMAESOptimizerImpl,7206,DeltaE2000,SparsityPenalty,ProportionsNormalizer,Uniform
32.112010421859175;55.57715769733368;-81.89570995877071,31.824067906870425;48.72249276063237;-73.01009636015755,0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0,0.00606839977007633;0.0;0.0;0.993660536783919;0.19188124426881464;0.006504048011010314;0.005635058205516233;0.20729267674306706;0.4925726167204255;0.001751050325631278;0.009853948868408601,CMAESOptimizerImpl,7976,DeltaE2000,SparsityPenalty,ProportionsNormalizer,Uniform
30.889391833568872;40.81711707740091;-49.26692802718592,30.69281165931246;41.35681121944151;-49.58591077683675,0.0;0.25;0.0;0.75;0.0;0.0;0.0;0.0;0.0;0.0;0.0,0.002808923430587579;0.004438100113996524;0.0;0.25069596339034605;0.7944399837475784;0.003028081053141722;0.0;0.43973363990960374;0.9739579568599623;0.01985927643234566;0.016279851847024105,CMAESOptimizerImpl,6271,DeltaE2000,SparsityPenalty,ProportionsNormalizer,Uniform
35.47300283750205;35.85358913728548;-13.068481539473442,35.47300283750205;35.85358913728548;-13.068481539473442,0.0;0.5;0.0;0.5;0.0;0.0;0.0;0.0;0.0;0.0;0.0,0.00536040884720005;0.45746909437801286;0.010803217936065288;0.017590445072176098;0.9982573150707844;0.00680537251773298;0.014115186718300738;0.626638361473246;0.7441046494308801;0.35339788120253324;0.006332144157405823,CMAESOptimizerImpl,5226,DeltaE2000,SparsityPenalty,ProportionsNormalizer,Uniform
42.94652329503914;43.80421754227193;19.88627168875802,42.94652329503914;43.80421754227193;19.88627168875802,0.0;0.75;0.0;0.25;0.0;0.0;0.0;0.0;0.0;0.0;0.0,0.034989959992721836;0.9919022529862991;0.034123444950787216;0.016711999692302956;0.9677977782744486;0.5703680079395805;0.01658434454766163;0.7936565723729292;0.015128005932796059;0.9240341725061673;0.008079433899991705,CMAESOptimizerImpl,4841,DeltaE2000,SparsityPenalty,ProportionsNormalizer,Uniform
52.370344868584624;61.09238608164025;44.41743162254441,52.66272642460778;57.93059006235607;44.02908567985103,0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0,0.0;0.9639994094946358;0.14175733024938564;0.00721753463173346;0.26387639467251983;0.0059398952938181865;0.0;0.009842901613196528;0.005548932098347752;0.0;0.0,CMAESOptimizerImpl,5721,DeltaE2000,SparsityPenalty,ProportionsNormalizer,Uniform
38.764055326781225;-1.3314154884452312;-14.798500468186049,38.764055326781225;-1.3314154884452312;-14.798500468186049,0.25;0.0;0.0;0.75;0.0;0.0;0.0;0.0;0.0;0.0;0.0,0.025603245480082477;0.014553197484729954;0.041066412228970166;0.9160889413748091;0.006983250988676938;0.7880960857335967;0.01572099262638498;0.8374658028076686;0.007393600917239429;0.9727309684736325;0.5395936205768239,CMAESOptimizerImpl,5336,DeltaE2000,SparsityPenalty,ProportionsNormalizer,Uniform
40.9139628228848;6.999999659533324;10.285048749982561,40.9139628228848;6.999999659533324;10.285048749982561,0.25;0.25;0.0;0.5;0.0;0.0;0.0;0.0;0.0;0.0;0.0,0.026882086312406774;0.015603244592407228;0.7436481748688804;0.957675821436511;0.7840355341655694;0.4973925157646507;0.017405143866508127;0.007667047130182382;0.48057255479790006;0.014994969116443733;0.019901718669028796,CMAESOptimizerImpl,4566,DeltaE2000,SparsityPenalty,ProportionsNormalizer,Uniform
45.4382029520668;25.816335392480294;34.232462577884704,45.19736722889547;26.311213247310228;34.50243243390947,0.25;0.5;0.0;0.25;0.0;0.0;0.0;0.0;0.0;0.0;0.0,0.5368236657523372;0.9865042382374268;0.01776491679394864;0.9194544745744114;0.3734975545764522;0.010703055580078254;0.47137590027640236;0.001403659622594332;0.02004959963491091;0.011127121765967711;0.002349875194908987,CMAESOptimizerImpl,6216,DeltaE2000,SparsityPenalty,ProportionsNormalizer,Uniform
