targetLab,resultLab,targetWeights,resultWeights,optimizer,numberOfEvaluations,mixingError,penalties,normalizer,initialGuessType
54.48966311460322;57.174918510749684;51.69569907182661,50.08668575871842;39.37732015461043;44.852570057915116,0.2;0.8;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0,0.3062293289333772;0.9983636900508768;0.3901660500855915;0.352278472803938;0.9576896135070765;0.3862280553644734;0.4643487950240734;0.004129357459461692;0.008107335172785656;1.0968149697030121E-4;0.0225709744762366,MoeaNSGAIIOptimizerImpl,10000,DeltaE2000,SparsityPenalty,ProportionsNormalizer,Uniform
83.2687849582949;-5.401509623651379;82.12225174720264,60.596346641443574;4.796224147998518;49.479684836327564,0.4;0.0;0.6;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0,0.4953743936093102;0.3875690053782424;0.9913380244294426;0.002469131019650765;0.38975312506029813;0.31846731020031777;0.4987618138480403;0.7332836331143912;0.0061110123223880024;0.4531680635419498;0.2800993275550117,MoeaNSGAIIOptimizerImpl,10000,DeltaE2000,SparsityPenalty,ProportionsNormalizer,Uniform
71.85059444103966;21.2184989027564;70.08835567787297,71.43798144332972;22.29236181990307;75.11669836694165,0.4;0.2;0.4;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0,0.6057158344723093;1.7582393891206255E-4;0.34066079196337745;0.01831076978143704;0.008859756746417147;0.0013492139664886956;0.9986309854126628;0.012270378664426342;0.01494793283514887;0.011328205783041041;0.009477946993123591,MoeaNSGAIIOptimizerImpl,10000,DeltaE2000,SparsityPenalty,ProportionsNormalizer,Uniform
63.853213580756815;37.33421661894726;63.03192559590205,52.30575821591695;14.292466793429936;46.37715867108062,0.4;0.4;0.2;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0,7.807871386044133E-6;0.7986634377766315;0.8684781562248679;0.037059819322223256;0.44090768505486166;0.5030666680200948;0.9949425956102631;0.35399365351598316;0.02817393437729629;0.32503804192478136;0.45576259318780477,MoeaNSGAIIOptimizerImpl,10000,DeltaE2000,SparsityPenalty,ProportionsNormalizer,Uniform
56.67647635323361;50.99450333647232;57.07290754377022,44.22708354380654;20.331150230505745;42.191248930150635,0.4;0.6;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0,0.4216172070205158;0.9980896410578618;0.5430316365280274;0.03321692119653901;0.9530837094867;0.032273955399878616;0.9561416752453212;0.01697402733638478;0.049335787172175016;0.4515386002761542;0.4891869794601543,MoeaNSGAIIOptimizerImpl,10000,DeltaE2000,SparsityPenalty,ProportionsNormalizer,Uniform
78.07828135059808;-0.6250669787259411;78.60038075362517,78.10791153083643;-0.41599002374337335;76.38753279700569,0.6;0.0;0.4;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0,0.9972854536027672;0.020037918881743333;0.9726828308792553;0.012462847485072632;8.799011017121929E-4;0.25710936497424736;0.005307160470296421;0.2553359425435519;0.008880308795318568;0.0026746112269392247;7.73931317165702E-5,MoeaNSGAIIOptimizerImpl,10000,DeltaE2000,SparsityPenalty,ProportionsNormalizer,Uniform
67.71242554754436;22.68473850981173;69.28450671462775,64.34453494971221;29.531817817724903;62.94594177852958,0.6;0.2;0.2;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0,0.9783228362021542;0.5225199675867855;0.6614960499519267;0.0088555966496365;0.4186062162896323;0.8036481997427083;0.9955317709285254;0.5125740639651705;9.037218516583429E-4;0.017956069234490356;0.012073934587570133,MoeaNSGAIIOptimizerImpl,10000,DeltaE2000,SparsityPenalty,ProportionsNormalizer,Uniform
59.29024947909363;41.64972968500879;61.76989083579241,51.71486120466582;22.071387198687564;47.50485162092143,0.6;0.4;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0,0.9383936250726648;0.5368950853594311;0.04973028986252933;4.600684674545361E-5;0.794926070920876;0.6134768755855594;0.999658059054182;0.5421696681012265;0.47146136430699304;0.03635693072862473;0.02467215493231291,MoeaNSGAIIOptimizerImpl,10000,DeltaE2000,SparsityPenalty,ProportionsNormalizer,Uniform
72.76378118559956;3.8641347769889367;74.84590181368655,59.739908195458284;-18.322767264584538;50.478937894501556,0.8;0.0;0.2;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0,0.9984176560806265;0.01910260533509201;0.7489580159949336;0.31239198348021036;0.007673445773043534;0.7669552656278054;0.03533663370612383;0.3666573875814055;0.339597622399911;0.0030385426167890655;0.0231062480062455,MoeaNSGAIIOptimizerImpl,10000,DeltaE2000,SparsityPenalty,ProportionsNormalizer,Uniform
67.0607520782194;8.583268068731996;70.79009233501033,62.33700597918616;-1.4386667047741053;55.31112072682712,1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0,0.9979841611758024;0.44632061996492145;0.9725855637579387;0.4234518965452664;2.6644957712322327E-4;0.017625850056910544;0.44852978027870855;0.5930396348078529;0.0077954003019622565;0.4532070538510736;3.2361559812710305E-5,MoeaNSGAIIOptimizerImpl,10000,DeltaE2000,SparsityPenalty,ProportionsNormalizer,Uniform
32.112010421859175;55.57715769733368;-81.89570995877071,30.872640260831567;29.145470717465315;-54.309362539238215,0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0,0.036135635244290955;0.02938229412153632;0.01910955896193921;0.6910583489134773;0.6897725312379226;0.01767528590547312;0.03246511028921839;0.5536272363678466;0.010386912071292042;0.6919268744380284;0.8830787994004309,MoeaNSGAIIOptimizerImpl,10000,DeltaE2000,SparsityPenalty,ProportionsNormalizer,Uniform
30.67955912774731;42.88625081617617;-56.33546061218031,34.0275297431405;14.81296907225141;-17.59907595096789,0.0;0.2;0.0;0.8;0.0;0.0;0.0;0.0;0.0;0.0;0.0,0.04387572735410908;0.04169815748259718;0.26955999329180874;0.999872071452932;0.8672050812057712;0.0029081107548655266;0.350021839106644;0.4852020285951847;0.9982419927885143;0.402748436069886;0.03636075895988927,MoeaNSGAIIOptimizerImpl,10000,DeltaE2000,SparsityPenalty,ProportionsNormalizer,Uniform
33.09729702427413;36.110590882681315;-27.631760509014658,33.09729702427413;36.110590882681315;-27.631760509014658,0.0;0.4;0.0;0.6;0.0;0.0;0.0;0.0;0.0;0.0;0.0,0.0032019092150327375;0.7381657540219738;0.03702537934943731;0.72829064323673;0.9568084878209103;0.02837609827015602;0.009009501697193846;0.4769061577324484;0.5095176125464201;0.0032156689838588708;0.5430097496384988,MoeaNSGAIIOptimizerImpl,10000,DeltaE2000,SparsityPenalty,ProportionsNormalizer,Uniform
38.204638740703324;38.02473236036358;0.7654953877936577,38.59630154160379;27.380845579493577;0.46884650215769375,0.0;0.6;0.0;0.4;0.0;0.0;0.0;0.0;0.0;0.0;0.0,0.020176369159407737;0.9166091468853765;0.5023100701780809;0.9143007252772228;0.7061796099512319;0.7189936298250624;0.031755579643094015;0.9040038633376694;0.5890653832977553;0.9995164701423835;0.04874721174976365,MoeaNSGAIIOptimizerImpl,10000,DeltaE2000,SparsityPenalty,ProportionsNormalizer,Uniform
44.734613059764115;46.51376988468686;25.559055889637072,42.76302814884746;35.6524217104709;26.58532822718531,0.0;0.8;0.0;0.2;0.0;0.0;0.0;0.0;0.0;0.0;0.0,0.4714219814806775;0.7608438922187315;0.0344587509997352;0.004120311604675157;0.963571918146088;0.03754785524821389;0.5072522712641218;0.7389735021032875;0.36750278236394524;0.8470881911500543;0.006198162500490475,MoeaNSGAIIOptimizerImpl,10000,DeltaE2000,SparsityPenalty,ProportionsNormalizer,Uniform
52.370344868584624;61.09238608164025;44.41743162254441,52.287095126144806;54.626727585049274;39.532709182924044,0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0,0.32751246813012086;0.9777434668400777;8.672117772287806E-4;1.991933754162331E-5;0.9240367784613112;0.007160617769166017;0.00407175276897418;0.250659485050352;0.006648058530638842;0.0018035287063250865;0.003172695695549484,MoeaNSGAIIOptimizerImpl,10000,DeltaE2000,SparsityPenalty,ProportionsNormalizer,Uniform
36.76348157944843;7.0579702288198485;-27.127904638768918,35.55141790800131;1.1084653335683703;-13.514530214042397,0.2;0.0;0.0;0.8;0.0;0.0;0.0;0.0;0.0;0.0;0.0,0.5144215489721298;0.942022621888154;0.07322140845526143;0.926387746555293;0.5305805913292816;0.7715358807797696;0.03312448746901449;0.9067682987276232;0.9817914950287312;0.9885732381581102;0.7219049674973196,MoeaNSGAIIOptimizerImpl,10000,DeltaE2000,SparsityPenalty,ProportionsNormalizer,Uniform
38.24850798720777;7.90470254470288;-4.231300263252069,37.19586356505647;6.0482626146097225;4.198416245888303,0.2;0.2;0.0;0.6;0.0;0.0;0.0;0.0;0.0;0.0;0.0,0.5229911963414721;0.733295513332179;0.0018284182108718086;0.014255828609816976;0.027572466862012368;0.393859632837652;0.0035498092791779266;0.7251547777167777;0.608317482203032;0.7346815504653709;0.6649196279611683,MoeaNSGAIIOptimizerImpl,10000,DeltaE2000,SparsityPenalty,ProportionsNormalizer,Uniform
41.9822414403412;19.574802113778876;18.882841692717523,42.512106664399774;19.954690406435937;19.03137802882342,0.2;0.4;0.0;0.4;0.0;0.0;0.0;0.0;0.0;0.0;0.0,0.027532504867800518;0.6662888504277098;0.045348021636584974;0.7333808989888209;0.7888880754390495;0.6461834220523149;0.6777998760601963;0.4755563220065221;0.6303392327387755;2.705855833730567E-4;0.016065933511784623,MoeaNSGAIIOptimizerImpl,10000,DeltaE2000,SparsityPenalty,ProportionsNormalizer,Uniform
