targetLab,resultLab,targetWeights,resultWeights,optimizer,numberOfEvaluations,mixingError,penalties,normalizer,initialGuessType
54.48966311460322;57.174918510749684;51.69569907182661,48.07581199549821;23.93440173372602;33.64444952339326,0.2;0.8;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0,0.4166445478328112;0.8701179000150088;0.6455899384046228;0.035981548653634614;0.9690225842074726;0.03526090779116768;0.041831066034954456;0.4254520905819518;0.4013584167217166;0.4110049179216622;0.023438717038018232,NSGAIIOptimizerImpl,10000,DeltaE2000,SparsityPenalty,ProportionsNormalizer,Uniform
83.2687849582949;-5.401509623651379;82.12225174720264,66.71846835209789;-30.708641747163533;58.16774482373779,0.4;0.0;0.6;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0,0.997909651828804;0.029867343740661998;0.9722135846360063;0.028702248823126927;0.03511537764964721;0.03561464315156171;0.3299277367860388;0.43843450318441357;0.3561882034368797;0.035325507707304936;0.3429007741169328,NSGAIIOptimizerImpl,10000,DeltaE2000,SparsityPenalty,ProportionsNormalizer,Uniform
71.85059444103966;21.2184989027564;70.08835567787297,60.28043806531994;22.702071648426525;56.06705202703903,0.4;0.2;0.4;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0,0.8941801014162164;0.9273513912419626;0.959633404670992;0.005644509145845897;0.4588933090578467;0.5917824003594665;0.9018445957857295;0.7573989105086725;0.035136862637351836;0.47958108543364875;0.05759950606878266,NSGAIIOptimizerImpl,10000,DeltaE2000,SparsityPenalty,ProportionsNormalizer,Uniform
63.853213580756815;37.33421661894726;63.03192559590205,50.340750085993676;18.912445128123125;43.44611492501566,0.4;0.4;0.2;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0,0.01262218236128832;0.928708926297879;0.8754338348372398;0.4448468866754128;0.4440975345229427;0.4700715951152249;0.9388875347209513;0.013883403467833469;0.27461639199990995;0.04435981943161657;0.04413181386921099,NSGAIIOptimizerImpl,10000,DeltaE2000,SparsityPenalty,ProportionsNormalizer,Uniform
56.67647635323361;50.99450333647232;57.07290754377022,39.41929671208389;18.391757637619023;37.09426026129993,0.4;0.6;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0,0.7973184433743257;0.9929887521392191;0.045073836921899584;0.3290864269791952;0.6227416200116344;0.4923352579626749;0.9816918478817703;0.03248576029993222;0.5412410318357047;0.5378458489768833;0.04286406221152789,NSGAIIOptimizerImpl,10000,DeltaE2000,SparsityPenalty,ProportionsNormalizer,Uniform
78.07828135059808;-0.6250669787259411;78.60038075362517,68.27801220941159;2.849943249714104;59.986930855908724,0.6;0.0;0.4;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0,0.8379553358841365;0.3718120583042215;0.998004216645547;0.48535784879766763;0.020750070823621684;0.8536887202336585;0.48188547876556426;0.7961987410798397;0.007267612696235751;0.025231014746014337;0.042311169092832265,NSGAIIOptimizerImpl,10000,DeltaE2000,SparsityPenalty,ProportionsNormalizer,Uniform
67.71242554754436;22.68473850981173;69.28450671462775,48.60553865083709;-10.664772721377725;41.41762214333148,0.6;0.2;0.2;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0,0.4798670568398589;1.2275319433896394E-4;0.49093769244595364;0.03801415570948345;0.4368396944510238;0.4949041251968567;0.9926686740649608;0.4763726954813519;0.47888951601485424;0.45305094392999234;0.4788697019361024,NSGAIIOptimizerImpl,10000,DeltaE2000,SparsityPenalty,ProportionsNormalizer,Uniform
59.29024947909363;41.64972968500879;61.76989083579241,55.17869786037534;31.455171299125396;55.12095828698321,0.6;0.4;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0,1.535918249881616E-4;0.39999060248980756;0.3506606900476497;0.2062119603744757;0.29496114689351044;0.4268365857050943;0.98172016684026;0.008673135783710451;0.006799189048832875;0.010721842026293699;0.026557979791344645,NSGAIIOptimizerImpl,10000,DeltaE2000,SparsityPenalty,ProportionsNormalizer,Uniform
72.76378118559956;3.8641347769889367;74.84590181368655,57.63861309025404;14.848744540553904;49.754386613010524,0.8;0.0;0.2;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0,0.7820359363455239;0.5953874478733977;0.9488261802393426;0.39786833250954295;0.5727971210964358;0.7801112421195932;0.7874762821516252;0.7832321952290325;0.04253546630134031;0.42894857551980126;0.05806857344479771,NSGAIIOptimizerImpl,10000,DeltaE2000,SparsityPenalty,ProportionsNormalizer,Uniform
67.0607520782194;8.583268068731996;70.79009233501033,48.490303669547444;10.43726772752307;47.49180191878166,1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0,0.9974627516405244;0.3699574255364437;0.6529758879250523;0.039767739898282334;0.38440818080299105;0.743464566053125;0.389564644331099;0.01694089817642374;0.32365775727785523;0.4089338791551525;0.03030885115102146,NSGAIIOptimizerImpl,10000,DeltaE2000,SparsityPenalty,ProportionsNormalizer,Uniform
32.112010421859175;55.57715769733368;-81.89570995877071,32.707412338815516;11.643137436276374;-36.07001564114534,0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0,0.028102354555008653;0.01671064848624125;0.03284757335566113;0.9273031199798193;0.6605620973793273;0.01302762171291122;0.5045891822025136;0.759329360038764;0.9913190118374564;0.9449677167004356;0.2947095698345613,NSGAIIOptimizerImpl,10000,DeltaE2000,SparsityPenalty,ProportionsNormalizer,Uniform
30.67955912774731;42.88625081617617;-56.33546061218031,34.95868525766586;10.302914473410391;-6.6924903268057,0.0;0.2;0.0;0.8;0.0;0.0;0.0;0.0;0.0;0.0;0.0,0.3531303401088558;0.4278940670690245;0.03494229010499533;0.9866684095144711;0.49442899310944427;0.028840971193512893;0.29190474305768455;0.4835319247090709;0.551356910498333;0.48371178837106815;0.33135003180744615,NSGAIIOptimizerImpl,10000,DeltaE2000,SparsityPenalty,ProportionsNormalizer,Uniform
33.09729702427413;36.110590882681315;-27.631760509014658,31.35391672971199;33.59345883101983;-31.747585990338557,0.0;0.4;0.0;0.6;0.0;0.0;0.0;0.0;0.0;0.0;0.0,0.03148225012173463;0.8774244025751492;0.009091268910698135;0.9312518429754975;0.9918666538776493;0.033180495815401945;0.003667868665262121;0.508862148379126;0.9971801412251768;0.018161285432281155;0.4049387612592465,NSGAIIOptimizerImpl,10000,DeltaE2000,SparsityPenalty,ProportionsNormalizer,Uniform
